"","GEO_NAME","total_pop","total_dwellings","pop_density","land_area","num_male","age_25","age_30","age_35","age_40","age_45","age_50","age_55","age_60","age_65_up","age_mean","age_med","homes_detached_house","homes_semidetached_house","homes_rowhouse","homes_duplex_apt","homes_lowrise_apt","homes_highrise_apt","homes_other_stationary","homes_mobile","avg_ppl_household","married_ppl","single_ppl","avg_total_income","avg_aftertax_income","med_fulltime_income","avg_fulltime_income","income_none","income_under_10k","income_10k","income_20k","income_30k","income_40k","income_50k","income_60k","income_70k","income_80k","income_90k","income_100k_up","med_total_household_income","med_aftertax_household_income","indigenous_ppl","nonindigenous_ppl","home_owner","home_renter","home_gov_or_ind_band","condo","non_condo","avg_rooms_home","home_cost_under_30pct","home_cost_over_30pct","can_citizen_ppl","non_citizen_ppl","non_immigrant_ppl","immigrant_ppl","non_perm_res_ppl","no_move_last_yr","moved_last_yr","no_move_5yrs","moved_last_5yrs","school_no_hs","school_hs","school_college","school_uni_degree","edu_field_education","edu_field_arts_comms","edu_field_humanities","edu_field_socsci_law","edu_field_bus_admin","edu_field_science","edu_field_math_cs","edu_field_engin_arch","edu_field_agri_res_env","edu_field_health","edu_field_pers_protect_transp","edu_field_other","workforce_participation_rate","workforce_employment_rate","workforce_unemployment_rate","work_lastyear_didnotwork","work_lastyear_worked","work_lastyear_fulltime","work_lastyear_parttime","work_lastyear_avg_weeks","worktype_employee","worktype_selfemp","occup_cat_snr_mgmt","occup_cat_busfin","occup_cat_science","occup_cat_health","occup_cat_edu_law_socserv","occup_cat_arts_rec","occup_cat_sales_serv","occup_cat_trades_transp","occup_cat_natres_agr","occup_cat_manuf_util","occup_ind_agr_forest","occup_ind_mine_og","occup_ind_util","occup_ind_constr","occup_ind_manuf","occup_ind_wholesale_trd","occup_ind_retail_trd","occup_ind_transp_warehs","occup_ind_info_culture","occup_ind_fin_insure","occup_ind_realestate","occup_ind_prof_sci_tech_serv","occup_ind_mgmt","occup_ind_admsupport_wastemgmt","occup_ind_edu","occup_ind_health_socasst","occup_ind_arts_ent_rec","occup_ind_accom_food_svc","occup_ind_other","occup_ind_pubadmin","work_loc_home","work_loc_foreign","work_loc_notfixed","work_loc_workplace","commute_same_subdiv","commute_same_div","commute_same_prov","commute_diff_prov","commute_transp_cardriver","commute_transp_carpass","commute_transp_pubtrans","commute_transp_walk","commute_transp_bike","commute_transp_other","commute_time_under15","commute_time_15","commute_time_30","commute_time_45","commute_time_over60","commute_start_5am","commute_start_6am","commute_start_7am","commute_start_8am","commute_start_9am","commute_start_noon","BEV","PHEV","TotalEV"
"1","K0A",111626,43737,NA,NA,0.502257538566284,0.0496300145127479,0.0615448013903571,0.0639635927113755,0.0633364986651855,0.0654865353949797,0.0709512120832064,0.0867181481016967,0.0791034346836759,0.182932291759984,42.1,44,0.82733154994627,0.0329240688661774,0.0272080846880216,0.0163477147495256,0.0495004229828292,0.00491574639321398,0.00160047556988362,0.00583030386171891,2.6,0.554754268718757,0.269381685270457,63850,52150,74500,83500,0.0231128948452869,0.0537957106767241,0.0748033612240876,0.0853743751455754,0.0759231720208554,0.0788794725243223,0.074892946087829,0.0691147223765073,0.0581853690000537,0.0493612599215237,0.0405819432748643,0.127076129217207,115000,98000,0.0408954902979593,0.946016161109419,0.32944833640908,0.0496748069446186,0,0.0268651256373322,0.940965315408007,7.3,0.323670112697759,0.046987261032376,0.971234300252629,0.0156773511547489,0.91708025012094,0.0686667980578002,0.00116460322863849,0.886442226721373,0.0903911275150951,0.622435633275402,0.311217816637701,0.031937003923817,0.131868919427374,0.224768423127228,0.147770232741476,0.0209628581154928,0.0111085231039364,0.0153638041316539,0.054736351746009,0.069159514808378,0.0138408614480497,0.0197534624549836,0.0809847168222457,0.0126762582194112,0.0477935248060488,0.0259796104850125,0.000134377295612133,67.7,63.3,6.5,0.252674108182681,0.560398115134467,0.347947610771684,0.212360919499041,0.000389694157275187,0.460869331517747,0.0829107913926863,0.00909286366975436,0.104231988963145,0.0569311809076738,0.0366402092702417,0.0792826044111587,0.0139304463117912,0.0970204074319603,0.115654059090176,0.021858706752907,0.00922724096536649,0.0168419543833874,0.000985433501155645,0.0048375826420368,0.0731460412448713,0.0230681024134162,0.0124970884919284,0.0507946177413864,0.0202013867736907,0.00900327880601294,0.0148710873810761,0.0072563739630552,0.0455986956443839,0.000537509182448534,0.0230681024134162,0.0401340189561572,0.0618583484134521,0.00909286366975436,0.0176930105889309,0.0227545553903213,0.0895400713095515,0.170659165427409,0.0008062637736728,0.0753408704065361,0.267634780427499,0.144813932238009,0.0298317596258936,0.0891369394227151,0.00385214914088116,0.29979574651067,0.0212764051385878,0.00349380968591547,0.01007829717091,0.000895848637414223,0.00743554369053805,0.070234533173275,0.0979610485012452,0.109338326196406,0.0440757529607797,0.0214107824341999,0.0353412287459911,0.0920036550624407,0.0974235393187967,0.0534821636536291,0.026203572644366,0.0384766989769409,60.3801981617186,28.0400623510652,88.4202605127838
"2","K0B",21020,9489,NA,NA,0.504281636536632,0.0539961941008563,0.0544719314938154,0.0487630827783064,0.0490009514747859,0.0594671741198858,0.0696955280685062,0.0968125594671741,0.0982397716460514,0.240009514747859,46.1,50.4,0.785646538096744,0.0426809990515334,0.00895774054167984,0.0173885551691432,0.0700811465907893,0,0.00316155548529877,0.0105385182843292,2.3,0.543292102759277,0.318268315889629,47760,40840,56800,61950,0.0204567078972407,0.0611322549952426,0.10918173168411,0.128686964795433,0.105375832540438,0.0980019029495718,0.0818268315889629,0.0666032350142721,0.0451950523311132,0.0356803044719315,0.0240247383444339,0.0635109419600381,79000,70500,0.0318744053282588,0.944100856327307,0.338249286393911,0.0839676498572788,0,0.0374117399093687,0.89788175782485,6.5,0.338249286393911,0.0623215984776403,0.960513796384396,0.0152235965746908,0.926022835394862,0.0473358705994291,0.00237868696479543,0.879638439581351,0.0870599429115128,0.616079923882017,0.314700285442436,0.0587535680304472,0.168411037107517,0.220742150333016,0.0808753568030447,0.0195052331113225,0.00832540437678402,0.00975261655566127,0.0335394862036156,0.0523311132254995,0.0071360608943863,0.00808753568030447,0.0685061845861085,0.0221217887725975,0.0456707897240723,0.0266412940057088,0,60.5,56.4,6.7,0.318506184586108,0.522835394862036,0.300666032350143,0.222169362511893,0.00204567078972407,0.412464319695528,0.0925309229305423,0.00642245480494767,0.0839676498572788,0.024500475737393,0.0356803044719315,0.0535204567078972,0.00832540437678402,0.0999048525214082,0.120361560418649,0.0463843958135109,0.0259276879162702,0.0478116079923882,0.00261655566127498,0.00190294957183635,0.055185537583254,0.049476688867745,0.0147478591817317,0.0566127497621313,0.0261655566127498,0.00475737392959087,0.010941960038059,0.00380589914367269,0.0216460513796384,0,0.0202188392007612,0.0337773549000951,0.0658896289248335,0.0054709800190295,0.0197431018078021,0.0202188392007612,0.0440057088487155,0.0999048525214082,0.000475737392959087,0.068744053282588,0.305661274976213,0.0925309229305423,0.122264509990485,0.0635109419600381,0.0273549000951475,0.332302568981922,0.0176022835394862,0.00309229305423406,0.0140342530922931,0.00071360608943863,0.0071360608943863,0.116079923882017,0.108943862987631,0.055185537583254,0.0428163653663178,0.0516175071360609,0.0490009514747859,0.0861084681255947,0.104900095147479,0.0620837297811608,0.0216460513796384,0.0504281636536632,30.9229305423406,25.6898192197907,56.6127497621313
"3","K0C",52838,22714,NA,NA,0.498978008251637,0.0502479276278436,0.0537491956546425,0.0525190204019834,0.0533706801922859,0.0566826904879064,0.0662402059124115,0.0886672470570423,0.0883833604602748,0.239127143343806,45.1,48.4,0.811173725455666,0.0292770978251299,0.0167297701857885,0.0158492559654838,0.0640574095271639,0.00198115699568548,0.00264154266091397,0.0127674561944175,2.4,0.538154358605549,0.304515689465915,49920,42560,58800,64800,0.0230894432037549,0.0550739997728907,0.101063628449222,0.125004731443279,0.0989817934062606,0.0961429274385859,0.0812861955410878,0.0680381543586056,0.0480714637192929,0.0364321132518263,0.0267799689617321,0.0664294636435898,84000,74500,0.0341610204776865,0.946477913622771,0.335080813051213,0.0738105151595443,0,0.0138680989697984,0.937307387514308,6.8,0.340569287255384,0.0522351338052159,0.967201635186797,0.0134372989136606,0.923293841553427,0.0557364018320148,0.00170331958060487,0.891120027253113,0.0817593398690337,0.633634883985011,0.299973503917635,0.051667360611681,0.150743782883531,0.221810060940989,0.0794882470948938,0.0167493092092812,0.00757030924713275,0.010693061811575,0.0357697111927022,0.0513834740149135,0.00794882470948938,0.00870585563420266,0.0658616904500549,0.0184526287898861,0.0521405049396268,0.0262121957681971,0,61.1,56.5,7.6,0.313600060562474,0.508914039138499,0.298364813202619,0.210549225935879,0.000817593398690337,0.41873273023203,0.0765547522616299,0.00454218554827965,0.0757977213369166,0.0238464741284681,0.0417313297248193,0.0555471441008365,0.00747568038154359,0.0990764222718498,0.11932699950793,0.0366213709830047,0.03151141224119,0.0342556493432757,0.00113554638706991,0.00482607214504713,0.056398803891139,0.0519512472084485,0.0141943298383739,0.0572504636814414,0.0290510617358719,0.0055831030697604,0.0109769484083425,0.00482607214504713,0.0203452061016693,0.000378515462356637,0.0164654226125137,0.0340663916120974,0.0669972368371248,0.00577236080093872,0.019020401983421,0.0239411029940573,0.0382300616980204,0.0913168552935387,0.000851659790302434,0.0655778038532874,0.306692153374465,0.099171051137439,0.12491010257769,0.0704985048639237,0.0122071236610016,0.328078276997615,0.0201559483704909,0.00160869071501571,0.0158976494189788,0.00141943298383739,0.0051099587418146,0.107119875846928,0.124720844846512,0.0672811234338923,0.0381354328324312,0.0351073091335781,0.047503690525758,0.0904651955032363,0.0985086490783148,0.0533706801922859,0.0249820205155381,0.0574397214126197,28.1994019455695,17.6009689995836,45.8003709451531
"4","K0E",39649,18426,NA,NA,0.499886504073243,0.0494337814320664,0.0517036999672123,0.0514514867966405,0.0514514867966405,0.0599006280107947,0.0706196877600948,0.0904184216499786,0.0914272743322656,0.2447728820399,45.8,49.6,0.783675241506567,0.0306631933137957,0.0127537175729947,0.0122110061869098,0.045045045045045,0.00352762400955172,0.00379897970259416,0.00352762400955172,2.4,0.549824711846453,0.304169083709551,49680,42280,58000,65000,0.0235819314484602,0.0592700950843653,0.10845166334586,0.124719412847739,0.109334409442861,0.102524653837423,0.0843653055562562,0.0649448914222301,0.0470377563116346,0.0327877121743297,0.027112915836465,0.0635577189840854,83000,73500,0.0312744331508991,0.963706524754723,0.348810814900754,0.0659537441045171,0,0.00895473787040052,0.883534136546185,6.9,0.346540896365608,0.055234684355217,0.981613659865318,0.0132411914550178,0.937350248429973,0.0567479633786476,0.000882746097001185,0.903301470402784,0.0825998133622538,0.642639158616863,0.306312895659411,0.0495598880173523,0.154732780145779,0.233675502534742,0.0749073116598149,0.0123584453580166,0.00857524779944009,0.010845166334586,0.0358142702211909,0.0553607909405029,0.00706196877600948,0.00668364902015183,0.0750334182451008,0.0139978309667331,0.048803248505637,0.0343009911977603,0,58.6,52.9,9.6,0.346288683195036,0.501904209437817,0.286514161769528,0.215390047668289,0.00106686171151858,0.414260132664128,0.0737723523922419,0.00416151731443416,0.0701152614189513,0.0288784080304674,0.0369492294887639,0.0505687406996393,0.00907967414058362,0.107821130419431,0.122827814068451,0.0274912355923226,0.0302655804686121,0.0239602512043179,0.00113495926757295,0.00365709097329063,0.0580090292315065,0.0562435370375041,0.0134934046255895,0.0621705465459406,0.029256727786325,0.00592700950843653,0.00882746097001185,0.00655754243486595,0.020555373401599,0,0.0224469721808873,0.0247168907160332,0.0636838255693712,0.00971020706701304,0.020555373401599,0.0197987338898837,0.0374536558299074,0.078059976291962,0.00163938560871649,0.0697369416630936,0.299629246639259,0.0721329667835254,0.140734949179046,0.0855002648238291,0.00113495926757295,0.335821836616308,0.018411561451739,0.000630532926429418,0.00895356755529774,0.000630532926429418,0.00517036999672123,0.0897878887235491,0.129637569673888,0.0749073116598149,0.0414890665590557,0.0332921385154733,0.0397235743650533,0.0982370299377033,0.101894120910994,0.0557391106963606,0.0283739816893238,0.0452722641176322,26.4823829100356,17.1504955988802,43.6328785089157
"5","K0G",39862,19411,NA,NA,0.496839094877327,0.0423962671215694,0.0515528573578847,0.0551904069038182,0.0518037228438111,0.0587025237067884,0.0682354121719934,0.0919422005920425,0.0916913351061161,0.250865485926446,46,50.4,0.742877749729535,0.0218948019164391,0.022667559631137,0.00746999124207923,0.0360620266858998,0,0.00231827314409356,0.00772757714697852,2.4,0.564572776077467,0.288871607044303,54500,45680,64500,71600,0.0232050574481963,0.0627163714816116,0.0953288846520496,0.106868697004666,0.0943254227083438,0.0925693643068587,0.0819075811549847,0.0662284882845818,0.0514274246149215,0.0426471326074959,0.031483618483769,0.094450855451307,94000,82000,0.0339922733430335,0.950529326175305,0.357483317445186,0.0505493954141789,0,0.0157127401988563,0.821956622533615,7,0.341177060859967,0.0565701670764136,0.970096834077568,0.0145501981837339,0.917916813004867,0.0653504590838392,0.00125432742963223,0.885931463549245,0.0901861421905574,0.61023029451608,0.329511815764387,0.0366263609452612,0.138979479203251,0.224399177161206,0.111509708494305,0.0165571220711455,0.010661783151874,0.0149264964126236,0.0439014600371281,0.0594551201645678,0.0100346194370578,0.0130450052681752,0.0731272891475591,0.0153027946415132,0.0501730971852892,0.028096934423762,0.000250865485926446,59.7,54.8,8.2,0.321484120214741,0.516908333751443,0.301289448597662,0.215744317896744,0.00107872158948372,0.405022327028247,0.0893081129898149,0.00664793537705083,0.0809041192112789,0.0390095830615624,0.0367517936882244,0.0664793537705083,0.0127941397822488,0.101475089057248,0.10975365009282,0.0240830866489388,0.0166825548141087,0.0188149114444835,0.00125432742963223,0.00426471326074959,0.0637198334253173,0.0302292910541368,0.0124178415533591,0.0551904069038182,0.0194420751592996,0.00702423360594049,0.0109126486378004,0.00890572475038884,0.0372535246600773,0.00112889468666901,0.0227033264763434,0.0336159751141438,0.0594551201645678,0.00928202297927851,0.0225778937333802,0.0232050574481963,0.0526817520445537,0.12493101199137,0.0016306256585219,0.0689880086297727,0.264286789423511,0.0795243590386835,0.0576990617630826,0.125056444734333,0.00200692388741157,0.292509156590236,0.0215744317896744,0.000878029200742562,0.010661783151874,0.000878029200742562,0.00664793537705083,0.0767648386934925,0.0874266218453665,0.0832873413275802,0.0530580502734434,0.0324870804274748,0.0391350158045256,0.081531282926095,0.0896844112187045,0.0544378104460388,0.0299784255682103,0.0383824193467463,49.1696352415835,24.5848176207917,73.7544528623752
"6","K0H",47286,25346,NA,NA,0.513153999069492,0.0427187751131413,0.0493803662817747,0.0535042084337859,0.0508607198748044,0.0569936133316415,0.0730660237702491,0.0959057649198494,0.0974918580552383,0.253669162119866,46.7,51.2,0.707803992740472,0.00986348930797759,0.00650990294326521,0.00374812593703148,0.0118361871695731,0,0.00138088850311686,0.011441647597254,2.4,0.565389332994967,0.297868290826037,54750,45720,64000,75500,0.0238971365731929,0.0611174554836527,0.099395169817705,0.11441018483272,0.0961172440045679,0.0903015691748086,0.0807850103624752,0.0679905257370046,0.0524468130101933,0.0376432770798968,0.0307702068265449,0.0828998012096604,92000,81000,0.0404982447235968,0.934737554455864,0.365647337478323,0.0385949329611301,0,0.00315631657855283,0.751006075909414,7.1,0.342807596328723,0.0525525525525526,0.964661844943535,0.0105739542359261,0.91105189696739,0.0638666835849934,0.000211479084718521,0.882185001903312,0.0848031129721271,0.646280082899801,0.289937825149093,0.0403925051812376,0.147823880218246,0.214439791904581,0.100664044326016,0.0142748382185002,0.00771898659222603,0.0130059637101891,0.0403925051812376,0.0517066362136785,0.0108911728630038,0.0094108192699742,0.068942181618238,0.0111026519477224,0.0553017806538933,0.0323562999619338,0,56.9,51.2,9.9,0.346297001226579,0.490102778835173,0.275134289218796,0.214862750074018,0.000894556528359345,0.383940278306475,0.0820538848707863,0.00539271666032229,0.0702110561265491,0.0262234065050966,0.0434589519096561,0.0675675675675676,0.0116313496595187,0.0990779511906272,0.106479719155775,0.019456075794104,0.0167068476927632,0.0142748382185002,0.00148035359302965,0.00475827940616673,0.0546673433997378,0.02717506238633,0.0104682146935668,0.0532927293490674,0.0196675548788225,0.00475827940616673,0.0131117032525483,0.00750750750750751,0.0261176669627374,0.000211479084718521,0.0205134712176966,0.0385949329611301,0.0674618280252083,0.00814194476166307,0.0199847735059003,0.0196675548788225,0.0538214270608637,0.0968574208010828,0.000634437254155564,0.0591084041788267,0.271539144778581,0.0751808146174343,0.116102017510468,0.0788816986000085,0.00137461405067039,0.296705155860085,0.0162838895233261,0.00222053038954447,0.00845916338874085,0.000951655881233346,0.00613289345683712,0.0614346741107304,0.128050585797065,0.0930507972761494,0.0242143552002707,0.0241086156579114,0.03003003003003,0.081948145328427,0.0986549930211902,0.0588969250941082,0.0273865414710485,0.0337309140126042,37.6432770798968,24.32009474263,61.9633718225268
"7","K0J",34322,19885,NA,NA,0.503612843074413,0.0403531262746926,0.046325971679972,0.0504049880543092,0.0502593088980829,0.0517161004603461,0.0620593205524154,0.0895926810791912,0.101829730202203,0.276353359361343,47.3,52.4,0.683932612522002,0.0143324113653508,0.00301734976112648,0.00528036208197134,0.031682172491828,0.000251445813427206,0.00176012069399044,0.00930349509680664,2.3,0.539158557193637,0.320202785385467,48240,41160,60000,68400,0.024037060777344,0.0691975992075054,0.116689004137288,0.13285939047841,0.0999359011712604,0.0897383602354175,0.0763358778625954,0.0600198123652468,0.0457432550550667,0.0321950935260183,0.0233086649962123,0.0710914282384476,76000,68000,0.0903210768603228,0.889225569605501,0.374249752345434,0.0568148709282676,0.0016024707184896,0.00553180789539854,0.741010812169977,6.7,0.360264553347707,0.0531728920226094,0.96818367228017,0.0115086533418798,0.914136705320203,0.0648272245207156,0.000728395781131636,0.878590991200979,0.0932346599848494,0.631082104772449,0.30461511566925,0.048074121554688,0.151214964162928,0.207010080997611,0.0801235359244799,0.0118000116543325,0.00655556203018472,0.0110716158732009,0.0270963230580968,0.0466173299924247,0.0118000116543325,0.0069925994988637,0.0741506905192005,0.0163160654973486,0.0489481964920459,0.0256395314958336,0,52.8,47.6,9.8,0.379785560282035,0.457578229706894,0.239350853679855,0.218081696870812,0.00120330983042946,0.366674436221665,0.0673037701765631,0.00393333721811083,0.0501136297418565,0.0352543558067712,0.0364197890565818,0.0549210418973253,0.00830371190490065,0.0986247887652235,0.0941087349222073,0.031175339432434,0.0209777984965911,0.0292815104014918,0.00189382903094225,0.00815803274867432,0.0489481964920459,0.0281160771516811,0.00757531612376901,0.0489481964920459,0.0109259367169745,0.00407901637433716,0.00509877046792145,0.00422469553056349,0.039187693024882,0,0.0186469319969699,0.0272420022143232,0.0590000582716625,0.00568148709282676,0.0250568148709283,0.0170444612784803,0.0448691801177088,0.0719655031758056,0.0016024707184896,0.0584173416467572,0.266592855894179,0.0968766388905075,0.139560631664821,0.0291358312452654,0.00116543324981062,0.276936075986248,0.0230173066837597,0.00116543324981062,0.016024707184896,0.00174814987471593,0.00626420371773207,0.093963055765981,0.104888992482956,0.0675951284890158,0.0250568148709283,0.0336518850882816,0.0412272012120506,0.0812889691742905,0.0824544024241012,0.0544840044286464,0.0284074354641338,0.0371481848377134,20.3950818716858,17.4814987471593,37.8765806188451
"8","K0K",115850,53153,NA,NA,0.500604229607251,0.0457056538627536,0.0519205869659042,0.0536469572723349,0.0520069054812257,0.0559343979283556,0.0640483383685801,0.089943892965041,0.0971514889943893,0.259343979283556,46.6,50.8,0.792711606118187,0.017214456380637,0.0133576656068331,0.00846612608883788,0.0445882640678795,0.000940680676537543,0.00253983782665137,0.00507967565330273,2.4,0.553819594302978,0.305265429434614,50040,42200,58800,67400,0.0261113508847648,0.0631851532153647,0.1112214069918,0.130556754423824,0.104315925766077,0.0967630556754424,0.0799309451877428,0.0618903754855416,0.0453603798014674,0.0316788951230039,0.0222270176952956,0.0690548122572292,83000,74000,0.0634009495036685,0.917263703064307,0.345748813120414,0.0568839015968925,0.00267587397496763,0.011100031983143,0.872199123285609,7.1,0.323392317652136,0.0588260681916271,0.965602071644368,0.0151057401812689,0.89943892965041,0.0799309451877428,0.00133793698748382,0.88312473025464,0.089943892965041,0.611652999568407,0.327017695295641,0.0530858869227449,0.152481657315494,0.213336210617177,0.0816573154941735,0.0139404402244281,0.011178247734139,0.0113940440224428,0.0384548985757445,0.0505826499784204,0.00686232196806215,0.00725075528700906,0.0701769529564091,0.0121709106603366,0.0477772982304704,0.0250755287009063,0,55.7,50.3,9.7,0.363314630988347,0.477298230470436,0.257013379369875,0.220284851100561,0.000359948208890807,0.374536037980147,0.0847647820457488,0.0044885627967199,0.0577470867501079,0.0227449287872249,0.03426845058265,0.0564954682779456,0.0131635735865343,0.103711696158826,0.110487699611567,0.0251618472162279,0.0310746655157531,0.021795425118688,0.00198532585239534,0.00820025895554597,0.0539490720759603,0.0487268018990073,0.0123867069486405,0.0499784203711696,0.0208027621924903,0.0055675442382391,0.0108761329305136,0.0063875701337937,0.0246439361242987,0.000258955545964609,0.0209753992231334,0.0274061286145878,0.0615882606819163,0.0091066033664221,0.0235649546827795,0.0192921881743634,0.031851532153647,0.0844626672421234,0.000647388864911524,0.0628398791540786,0.274492878722486,0.0943892965041001,0.0928355632283125,0.0865774708675011,0.000647388864911524,0.299395770392749,0.0206301251618472,0.000949503668536901,0.0104445403539059,0.000604229607250755,0.00526542943461372,0.0835563228312473,0.124082865774709,0.0716012084592145,0.0267587397496763,0.0313336210617177,0.0354337505394907,0.0769961156668105,0.088821752265861,0.0563659905049633,0.0321104876996116,0.0476046611998274,30.8157099697885,17.695295640915,48.5110056107035
"9","K0L",78142,48786,NA,NA,0.499091397711858,0.0437024903381024,0.0493332650815183,0.049397251158148,0.0458780169435131,0.0498451536945561,0.0614906196411661,0.0918200199636559,0.106216887205344,0.288321261293543,48.2,54,0.625486819989341,0.00491944410281638,0.00778911982945927,0.00635428196613783,0.0254171278645513,0.000307465256426024,0.00204976837617349,0.00553437461566843,2.3,0.560773975582913,0.308220931125387,49680,42120,59200,69900,0.0236108622763687,0.0644979652427632,0.115366896163395,0.140065521742469,0.105960942898825,0.100522126385299,0.080622456553454,0.0576514550433826,0.0433825599549538,0.0318010800849735,0.0234189040464795,0.0694888792198818,79000,70500,0.0604028563384608,0.921143559161526,0.369775536843183,0.0513808195336695,0.000639860766297254,0.00891649243635469,0.666687164350428,6.9,0.339702080827212,0.0635381740933173,0.967341506488188,0.0141409229351693,0.905275012157355,0.075247626116557,0.00108776330270533,0.885631286632029,0.0895805072816155,0.611450948273656,0.330296127562642,0.0557958588211205,0.148959586394001,0.20034040592767,0.0859333009137212,0.0158685470041719,0.00921399503468045,0.00972588364771826,0.0358322029126462,0.0454941004837347,0.0101737861841263,0.00748637096567787,0.0626423690205011,0.0136290343221315,0.0492692790048885,0.0267461800312252,0.000127972153259451,52.7,46.8,11.2,0.396649689027668,0.455260935220496,0.237964218985949,0.217296716234547,0.000531084436026721,0.352115379693379,0.0858053287604617,0.0050549000537483,0.0598269816487932,0.022843029356812,0.0373038826751299,0.0504850144608533,0.0108776330270533,0.103849402370044,0.107944511274347,0.0210514192111796,0.0188119065291393,0.0179800875329528,0.0040311228276727,0.00729441273578869,0.0575234828901231,0.0302654142458601,0.0117734380998695,0.0585472601161987,0.0175961710731745,0.00595070512656446,0.00953392541782908,0.00710245450589952,0.023994778736147,0.000255944306518901,0.0193237951421771,0.0302014281692304,0.058483274039569,0.0101098001074966,0.0208594609812905,0.021435335670958,0.0257224028051496,0.0836298021550511,0.000959791149445881,0.0613626474879066,0.252553044457526,0.076655319802411,0.0982826137032582,0.0768472780323002,0.00083181899618643,0.277955516879527,0.016764352076988,0.00179161014563231,0.0111335773335722,0.000703846842926979,0.00563077474341583,0.0756955286529651,0.102121778301042,0.0692329349133629,0.0270021243377441,0.0399273118169486,0.0321849965447519,0.0612346753346472,0.0858693148370915,0.0612346753346472,0.0300094699393412,0.0433185738783241,27.0021243377441,13.6930203987612,40.6951447365053
"10","K0M",53815,37422,NA,NA,0.504599089473195,0.0420886369971198,0.0462696274272972,0.0465483601226424,0.041902815200223,0.0458979838335037,0.0604849948899006,0.0936541856359751,0.111957632630308,0.323051193905045,50.4,56.8,0.58361391694725,0.0045427823205601,0.00654695099139544,0.00440917107583774,0.02551974774197,0.000400833734167067,0.00160333493666827,0.00440917107583774,2.2,0.575397194090867,0.312273529685032,51650,42960,58800,74300,0.0200687540648518,0.06513053981232,0.115488246771346,0.145312645173279,0.110471058255133,0.0989501068475332,0.0794388181733717,0.0604849948899006,0.0448759639505714,0.0328904580507293,0.0246213880888228,0.0744216296571588,80000,71000,0.0260150515655486,0.962092353433058,0.386416426646846,0.0515655486388553,0,0.0125594570039014,0.617283950617284,6.8,0.353711790393013,0.0739570751649168,0.975750255504971,0.0123571494936356,0.905788348973335,0.0812041252438911,0.00111493078138066,0.891944625104525,0.0903093932918331,0.615627613119019,0.337638204961442,0.0517513704357521,0.160921676112608,0.191675183499024,0.0779522437981975,0.0125429712905324,0.0101272879308743,0.0102201988293227,0.0315897054724519,0.0456192511381585,0.00817615906345814,0.00724705007897426,0.0643872526247329,0.0148657437517421,0.0417169934033262,0.0230419028152002,0.000278732695345164,50.9,45.3,11,0.418842330205333,0.456192511381585,0.230697760847347,0.225494750534238,0.000754436495400911,0.345907274923348,0.0897519279011428,0.00613211929759361,0.0631794109449038,0.0201616649633002,0.0314967945740035,0.0418099043017746,0.00984855523552913,0.106011335129611,0.117811019232556,0.021555328440026,0.0175601598067453,0.0150515655486389,0.00288023785190003,0.0077116045712162,0.0683824212580136,0.0273158041438261,0.0116138623060485,0.0585338660224844,0.0174672489082969,0.00641085199293877,0.0120784167982904,0.00919817894639041,0.0257363188702035,0.000278732695345164,0.0237851900027873,0.0248072098857196,0.0501718851621295,0.010777664220013,0.0216482393384744,0.0177459816036421,0.0241568335965809,0.0828765214159621,0.00120784167982904,0.0720988571959491,0.24036049428598,0.129424881538604,0.0191396450803679,0.0911455913778686,0.000650376289138716,0.272879308742916,0.0207191303539905,0.00102201988293227,0.0103131097277711,0.000278732695345164,0.00715413918052588,0.082133234228375,0.0904952150887299,0.0533308557093747,0.0269441605500325,0.0596487968038651,0.0309393291833132,0.0603920839914522,0.0822261451268234,0.0612282820774877,0.0337266561367648,0.0439468549660875,23.5993682058905,10.4060206262195,34.00538883211
